leagueId,tier,number
0425b544-16fe-4a43-ba2c-fe38e28f3cb3,BRONZE,125
0440ebf8-67ac-4af3-87bf-1e689b7de82d,IRON,12
04415fdf-522c-4cdf-bfd6-a879aaf2c910,BRONZE,140
04435673-b5dc-402e-b814-3229886c919f,BRONZE,61
044735be-9e42-4b6d-8e53-7ea3c01bff8b,BRONZE,108
044f2f27-6c4e-4936-bbe9-59ba2ad1fe63,GOLD,137
04520b46-5bfc-4062-a828-ca09322cadb0,IRON,57
0452775e-0613-4007-b80b-70136d9d479a,SILVER,107
0452dfe0-64ed-4182-a1ee-e0a63ee71462,DIAMOND,200
04553a42-000d-4e4c-a3b7-ee7b8a738133,SILVER,145
045693be-c713-4dc8-b0d6-2e3433230a66,SILVER,98
04621efe-040f-4a84-b761-a0350768e0b8,BRONZE,36
0476bad1-bffa-464b-b3c6-31022b1ce7e5,SILVER,183
0476f32d-16ca-473f-82ae-5200f225284a,BRONZE,147
04842151-195e-47b9-ad82-df46a1ad2e48,SILVER,110
04862724-d235-4dee-8475-9fc70c169f97,GOLD,196
048b3cd4-4885-4e65-af5a-9b10a63c315d,GOLD,210
0491b79f-9df4-4215-afe8-db47bc1e81bb,SILVER,174
04940344-fd12-4aa8-a615-1cdee44269f8,SILVER,189
0494fe4f-361a-4053-8a5a-84235c137738,IRON,8
04986b79-216d-4fe3-9d43-19a76277f02a,SILVER,192
049bb4d7-b4e6-4137-9ad2-49e202499a2b,SILVER,187
04a638ce-d47b-4c4d-8124-dbcd6f5a3a4f,SILVER,190
04a881a9-431b-4983-8efe-0400f06e6231,PLATINUM,202
04b44038-3d1b-463f-8e4f-b60a39a624e1,IRON,83
04b8a634-5a09-4b6d-8a7a-fdafabc90732,GOLD,201
04c0419d-ef6c-4d1f-90c4-d86e8b934941,BRONZE,146
04c327e0-fc79-475c-bdc6-52adfd1aeb1c,SILVER,186
04c7cebe-be0f-446b-83b8-f4f867e13b91,BRONZE,43
04cacef4-036b-4783-8f07-f39d9a09b649,BRONZE,150
04cd6212-d722-4123-8fae-69ebee464b55,GOLD,187
04cddfa0-ed52-49d7-a335-516acb10c9cc,SILVER,192
04ce9e9b-d8ba-45a6-88b5-e65ac6a90ef8,BRONZE,141
04d17499-3307-4fa9-b359-e53a1f31001e,BRONZE,143
04d9e63c-b77a-445f-8bc2-b22e008bfdf6,BRONZE,70
04e24c6a-d02d-4035-90cf-3863b52b2beb,BRONZE,65
04e259ec-5ca1-4bcb-947b-15f850c1be95,GOLD,167
04ea251c-64fd-453f-a5ff-a6f769e16e56,GOLD,194
04eb5c9b-7907-4f82-a183-5525d50e6d4a,SILVER,97
04ecda40-d445-4ef7-b69e-1bfca546c314,PLATINUM,199
04ef0c7b-7ac3-4892-b9d8-845a0dab2d6e,BRONZE,40
04f219c6-5be6-4aff-8af3-4b520185d1d3,GOLD,163
04f70e7e-8b11-4b60-b02f-2df085d16252,GOLD,195
04fbab53-1e77-4a58-b90d-6a95ae4df589,SILVER,192
04fe05fd-5c15-4918-b939-ce2aad273e87,IRON,49
04ffcb19-583e-4645-9333-33a344d1c776,SILVER,96
050659e4-65f4-4c17-bae1-d6e56d37b611,SILVER,98
0509ffe5-1803-4c90-a2f6-723191797ca9,BRONZE,69
051839ae-bf6e-4323-a4c6-090cc71159f2,BRONZE,144
052020c0-0f91-4747-800b-7e354e398513,PLATINUM,198
0523f64c-ece6-4ce1-8666-93c27adcc6ab,BRONZE,128
0528e620-af5f-4cf9-8241-1beac9512bd4,BRONZE,67
052c6c35-8ef6-452e-9777-3dc240495f93,IRON,74
052d2f0b-5065-4cc7-b6f6-1dfa09d5e817,BRONZE,131
05301698-d80a-4ee2-8cdb-d70d978c19f8,SILVER,189
0530e5ab-845f-4ca6-a496-6ae46e62dbc1,BRONZE,44
053123fc-de3c-4547-9305-5260df97cf49,BRONZE,124
05327f39-ff54-4860-9488-ccc58d0d8cb5,SILVER,186
05348bea-c42a-44cd-b957-8f4c53875e84,IRON,23
0539343c-92af-455a-8b5d-61d4d2d72af6,BRONZE,122
053b622e-33b1-4085-b620-3165df7c376d,IRON,63
053bfb13-3227-447d-b2b8-d884ce6b2f01,BRONZE,78
053ec8d3-21df-4801-a548-f70c45620df8,BRONZE,148
0542d390-f964-4f01-b504-3706b4a31df6,PLATINUM,128
054344ad-9e34-4090-819a-a662476d8a2d,PLATINUM,199
0545965c-1e6f-4960-b4b6-489617c16aac,GOLD,196
0556ac49-c332-4f9f-9765-3b557eb9a09e,SILVER,116
055e8689-4fac-4f84-9482-29093522fc9b,GOLD,197
05600f5c-ca97-422b-ae1a-2cec3d3ad701,IRON,65
056aa126-ffc3-4fcd-a905-56c2cc810913,BRONZE,69
056c89fd-4ec6-4a20-aabf-e050346e4b56,GOLD,190
0574b6e4-31f8-4aca-9526-1ccb9bfc1a9a,SILVER,183
0578485b-f245-4a37-85ec-94c5eeafcdca,BRONZE,69
05801eb4-9173-4140-a8eb-4b91ef256d8e,GOLD,195
058279e4-8ba4-4b7a-8f42-ad76ddf000ad,IRON,26
0588815e-2d39-4873-9660-41e801b6fc6a,GOLD,195
0589e0d0-fa83-413a-b10b-b060a988e636,BRONZE,73
0589e239-f979-48e6-9c6e-eeb7f4b0468f,BRONZE,54
059506da-dcbd-4945-8a81-b26136a98997,SILVER,178
0595cd1b-9713-431d-b696-9374c392ce78,IRON,49
05975799-aaab-4539-b08e-66ff75609405,BRONZE,158
0599bbe3-b33a-408f-a362-de72ebe659e2,DIAMOND,200
05a03c01-0b27-4718-ac63-2b9a20456436,GOLD,153
05a20f4d-e73c-44cb-ac93-8949d8cae31d,SILVER,186
05a221da-7c1d-4b95-a224-67667656048a,BRONZE,69
05a555af-abb8-4bd0-ae2b-9a34999c23cb,SILVER,183
05a91d8b-c8d0-43e3-9835-27d0e4f5a281,GOLD,191
05a990da-7c6b-43b7-a735-674fe232e39f,GOLD,190
05ac02c5-9c9a-47f8-9f6f-977faec89e3c,GOLD,196
05ad5094-2068-4fea-b372-9ce33b34202b,BRONZE,61
05b08e8b-81f0-4a3c-87aa-83ab6b02f3bc,BRONZE,79
05b8692b-9606-4139-b76d-f50c8af68530,IRON,20
05bfa34a-bb47-492c-b2f4-cd7e79e9cada,IRON,95
05c37d4a-80c6-46b3-853a-9ddf629b78ba,GOLD,194
05c53b89-0c5f-4145-81f4-7db1dff0728b,SILVER,188
05c7a160-7960-4810-9b82-349ad9413025,BRONZE,41
05cbc7cf-bb22-4eef-a88a-214c924e5f88,GOLD,200
05ce767f-aa9c-4840-8a9d-60ee94b2e8ef,SILVER,181
05d672e6-2d61-4a56-9545-0c54a356aff1,SILVER,98
05d8f8f6-bc0a-4205-a480-44933959ba50,GOLD,196
05dc8213-df08-4e47-97aa-e315bb00982e,BRONZE,58
05e3cd78-8857-4718-97b3-3a8709de4e00,IRON,30
05fbf9a4-d67c-44a3-91b4-7dfbd5c880c5,IRON,21
05fe8f34-6914-4668-91db-03373b883249,SILVER,179
0606e250-2f08-4ef2-a905-919e9fa44590,IRON,38
06188bb5-8768-48c9-a88b-92eb6e154b62,DIAMOND,102
061ef834-ceb8-42f1-8f7b-ed7e13e28a97,GOLD,196
06286623-f101-450e-822e-3a0f09f7908c,SILVER,171
062b07e9-7e8b-451e-98fe-ffd26150946f,SILVER,181
062cb257-5ed1-49db-8039-c794886a83e3,SILVER,187
062f5c58-0a0c-4df0-83df-18a2324b4450,SILVER,185
